,,,,,,ADVERTISING AND PRESS,,,,,,,Campaign materials,,,,,,,Campaign activity,,,Data and infrastructure,,,,,,,,Production Services,,,,Consultancy,,,,,Research,,,,,,,Miscellaneous,,,,,,,,Completely unclear
Supplier,Party,Total Spend,Expense Category,Supplier,More than 1 service,ADVERTISING AND PRESS,Merchandise,Newspaper or magazine advertising,Social media advertising,Online advertising (i.e. web advertising but not online newspapers or social media),"Other forms of advertising (billboards, advans, digital posters outside)",PR,Campaign materials,Design services,Campaign material printing,Paid leaflet delivery/ postage,Event costs/Venue hire,"Creative content owned by a third party (e.g. Getty images, PA images, demo music)",Translation/Braile/British Sign Language services,Campaign activity,Fundraising,Phone banking,Data and infrastructure,Campaign database or CRM,Data Services and analysis,IT infrastructure and support,Telecommunications services,Mobile application services,Email services,Website services,Production Services,Video editing/ production,Audio editing/production,Photos editing/production,Consultancy,Communication consultants,Design consultants,Social media strategy and consultancy,Data consultancy,Research,Polling,Focus groups,Ordinance survey data,Message testing,Archival research,Other forms of research,Miscellaneous,Catering,Accommodation,Expenses claimed by provider,Office infrastructure and supplies,Physical Security,Recruitment services/staffing costs,Transport,Completely unclear
Facebook Ltd,Plaid Cymru - The Party of Wales,"£25,292.37",Advertising,Facebook Ltd,,,,,"£2,100.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£23,192.37"
Facebook,Scottish Family Party,"£2,368.68",Advertising,Facebook,,,,,"£2,368.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reach Publishing Services LTd,Plaid Cymru - The Party of Wales,"£21,600.00",Advertising,Reach Publishing Services LTd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£21,600.00"
EColour Print Ltd,Social Democratic Party,"£2,078.00",Advertising,EColour Print Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,078.00"
Saltire Graphics,Scottish National Party (SNP),"£61,842.70",Advertising,Saltire Graphics,y,,,,,,,,,,"£61,842.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Ireland Ltd,Scottish National Party (SNP),"£19,945.98",Advertising,Facebook Ireland Ltd,,,,,"£19,945.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Atkinson Creative Consultant Ltd,Scottish National Party (SNP),"£11,750.00",Advertising,Will Atkinson Creative Consultant Ltd,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£11,750.00",,,,,,,,,,,,,,,,,,,,
GOOGLE UK LIMITED,Reform UK,"£121,500.00",Advertising,GOOGLE UK LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£121,500.00"
D.J.O Political Consulting Ltd,Reform UK,"£1,000.00",Advertising,D.J.O Political Consulting Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,000.00",,,,,,,,,,,,,,,,,
