ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RedactedSupportingInvoiceId,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0555253,Plaid Cymru,UK Parliamentary general election 12/12/2019,Political Party,£200.40,03/01/2019,Unsolicited material to electors,Low Cost Printing,"Precision House, Pentrpoeth Rd, Swansea, SA6 6AA, United Kingdom",£0.00,£0.00,£200.40,£0.00,,03/01/2019,74031.0,77,2276,,,,False
SP0541022,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£224.12,19/02/2019,Unsolicited material to electors,RelyOn IT (UK) Ltd,"1386 London Rd, Leigh-on-Sea, SS9 2UJ, United Kingdom",£224.12,£0.00,£0.00,£0.00,19/02/2019,25/02/2019,71688.0,90,76765,,,,False
SP0541021,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£498.06,15/04/2019,Unsolicited material to electors,RelyOn IT (UK) Ltd,"1386 London Rd, Leigh-on-Sea, SS9 2UJ, United Kingdom",£498.06,£0.00,£0.00,£0.00,15/04/2019,08/05/2019,71687.0,90,76765,,,,False
SP0541019,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£239.40,05/11/2018,Unsolicited material to electors,Letter Workshop Limited t/a Election Workshop,"Unit 3, Sheffield Street, MANCHESTER, MANCHESTER, M1 2ND, United Kingdom",£239.40,£0.00,£0.00,£0.00,05/11/2018,05/11/2018,71686.0,90,68079,,,,False
SP0541018,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£202.50,19/02/2019,Unsolicited material to electors,Chelmsford Liberal Independent Print Society,"61 Galleywood Road, Chelmsford, CM2 8BY, United Kingdom",£202.50,£0.00,£0.00,£0.00,19/02/2019,12/03/2019,71685.0,90,76746,,,,False
SP0541013,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£850.00,18/09/2019,Unsolicited material to electors,Art and Canvass UK Ltd,"12 Stapledon Road, Orton Southgate, PETERBOROUGH, PETERBOROUGH, PE2 6TD, United Kingdom",£850.00,£0.00,£0.00,£0.00,24/10/2019,25/10/2019,71684.0,90,68588,,,,False
SP0541012,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£1,700.00",02/01/2019,Unsolicited material to electors,Sharman & Company Ltd,"Newark Rd, Eastern Industry, Peterborough, Cambridgeshire, PE1 5TD, United Kingdom","£1,700.00",£0.00,£0.00,£0.00,09/01/2019,03/02/2019,71683.0,90,68405,,,,False
SP0541011,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£833.77,25/11/2019,Unsolicited material to electors,Scottish Liberal Democrats,"Party Headquarters, 4 Clifton Terrace, EDINBURGH, EH12 5DR, United Kingdom",£0.00,£833.77,£0.00,£0.00,06/12/2019,10/01/2020,71682.0,90,68523,,,,False
SP0541010,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,"£2,164.73",06/12/2019,Unsolicited material to electors,Scottish Liberal Democrats,"Party Headquarters, 4 Clifton Terrace, EDINBURGH, EH12 5DR, United Kingdom",£0.00,"£2,164.73",£0.00,£0.00,06/12/2019,10/01/2020,71681.0,90,68523,,,,False
SP0541009,Liberal Democrats,UK Parliamentary general election 12/12/2019,Political Party,£330.81,06/12/2019,Unsolicited material to electors,Scottish Liberal Democrats,"Party Headquarters, 4 Clifton Terrace, EDINBURGH, EH12 5DR, United Kingdom",£0.00,£330.81,£0.00,£0.00,06/12/2019,10/01/2020,71680.0,90,68523,,,,False
